"StockCode","Description","TotalUnits"
"23005","printing smudges/thrown away",-19200
"23003","Printing smudges/thrown away",-9058
"72140F","throw away",-5368
"16045","",-3667
"16259","",-3167
"20713","wrongly marked. 23343 in box",-3100
"84598","check",-3000
"23270","incorrect stock entry.",-2880
"18007","",-2834
"72732","thrown away-can't sell",-2472
"23059","Thrown away-rusty",-2376
"21829","?missing",-1897
"85036C","damages wax",-1560
"79164","damages/credits from ASOS.",-1512
"16008","check",-1510
"21620","mystery! Only ever imported 1800",-1479
"23268","Incorrect stock entry.",-1440
"23269","incorrect stock entry.",-1440
"23117","Damaged",-1440
"23116","Damaged",-1440
"23115","Damaged",-1440
"23113","Damaged",-1440
"23114","Damaged",-1440
"84611B","thrown away",-1430
"22351","Given away",-1400
"47566B","reverse previous adjustment",-1300
"85036B","damages wax",-1284
"35610A","thrown away",-1277
"21700","sold as set on dotcom and amazon",-1206
"85175","? sold as sets?",-1200
"21135","wet rusty",-1152
"85204","lost??",-1131
"35610C","Thrown away.",-1121
"40016","damaged stock",-1100
"22740","?",-1060
"22578","lost",-1050
"85099F","",-991
"72038P","damages",-990
"85175","wrongly sold sets",-975
"84929","code mix up? 84930",-967
"35957","",-904
"16045","check",-900
"85078","missing",-840
"20713","wrongly coded-23343",-800
"37370","sold as set/6 by dotcom",-786
"40016","?",-752
"21622","POSSIBLE DAMAGES OR LOST?",-750
"84997C","?",-741
"20956","?",-723
"72807B","wet pallet",-696
"22127","sold in set?",-690
"85172","Dotcom set",-675
"79030D","damages",-664
"22030","??",-635
"22945","sold as set on dotcom",-618
"85172","?sold as sets?",-600
"85172","wrongly sold as sets",-600
"37370","damages/dotcom?",-590
"22219","???lost",-550
"85106","",-542
"35610B","thrown away",-541
"15036","",-530
"72759","thrown away-can't sell.",-524
"72807A","wet pallet",-504
"23084","temp adjustment",-484
"20735","",-472
"82600","historic computer difference?....se",-458
"84406B","?",-450
"21830","?",-443
"22435","?missing",-434
"21829","sold as 1",-432
"35954","counted",-430
"72807C","???missing",-428
"79030G","damages",-413
"72807C","wet pallet",-408
"21621","?",-400
"23343","20713",-400
"23055","rusty thrown away",-398
"21033","",-393
"85061W","",-391
"21201","???",-390
"84614A","thrown away",-390
"22130","sold as set on dotcom",-390
"21830","OOPS ! adjustment",-384
"90057","crushed boxes",-380
"84596G","??",-365
"22796","Not rcvd in 10/11/2010 delivery",-360
"85104","????damages????",-355
"84799","",-346
"85175","dotcom sold sets",-345
"21391","Sold as 1 on dotcom",-342
"23090","missing",-338
"21688","mixed up",-337
"22572","??",-335
"21918","",-333
"84809B","damaged",-324
"21689","wrong barcode",-323
"21696","",-320
"35954","",-314
"16169E","check",-313
"84050","counted",-310
"22759","check",-310
"72802A","Wet pallet-thrown away",-306
"21135","sold as set on dotcom",-304
"21815","?",-300
"22577","check",-300
"22051","?",-300
"46000S","Dotcom",-300
"72802B","check",-290
"82599","?",-290
"16015","",-289
"22481","wet boxes",-288
"23057","rusty throw away",-280
"22080","",-277
"21136","sold as set on dotcom",-272
"20867","?",-271
"22812","?",-270
"21591","check",-267
"85185B","?",-259
"22804","Wrongly mrked had 85123a in box",-256
"85123A","wrongly marked carton 22804",-256
"21830","sold as 1",-252
"21578","?",-251
"85199L","?",-250
"84754","",-242
"22044","",-240
"40001","check",-240
"23169","smashed",-235
"22034","",-234
"22459","?lost",-232
"21098","damages?",-231
"84613A","thrown away",-230
"20866","?",-230
"85025C","barcode problem",-230
"21294","damaged",-227
"72225C","",-226
"21503","",-224
"47504K","",-224
"72807A","???missing",-224
"20711","check",-220
"21351","damaged",-220
"82583","?",-220
"35970","",-217
"21811","check",-214
"21272","?",-212
"85175","Amazon sold sets",-210
"21820","",-210
"35004C","",-210
"23056","rusty throw away",-210
"21786","check",-209
"21078","",-207
