"StockCode","Description","TotalSales","Profit"
"DOT","DOTCOM POSTAGE",206248.77,82499.508
"22423","REGENCY CAKESTAND 3 TIER",174484.74,69793.8959999999
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",104340.29,41736.116
"47566","PARTY BUNTING",99504.3300000002,39801.7320000001
"85099B","JUMBO BAG RED RETROSPOT",94340.0499999999,37736.0199999999
"23166","MEDIUM CERAMIC TOP STORAGE JAR",81700.92,32680.368
"M","Manual",78110.27,31244.108
"POST","POSTAGE",78101.88,31240.752
"23084","RABBIT NIGHT LIGHT",66964.9900000001,26785.996
"22086","PAPER CHAIN KIT 50'S CHRISTMAS",64952.2900000001,25980.916
"84879","ASSORTED COLOUR BIRD ORNAMENT",59094.9300000003,23637.9720000001
"79321","CHILLI LIGHTS",54117.76,21647.104
"23298","SPOTTY BUNTING",42548.13,17019.252
"22386","JUMBO BAG PINK POLKADOT",42436.2399999999,16974.496
"21137","BLACK RECORD COVER FRAME",40652.13,16260.852
"22502","PICNIC BASKET WICKER 60 PIECES",39619.5,15847.8
"23284","DOORMAT KEEP CALM AND COME IN",38166.64,15266.656
"22720","SET OF 3 CAKE TINS PANTRY DESIGN",38158.3900000002,15263.3560000001
"22960","JAM MAKING SET WITH JARS",37128.88,14851.552
"82484","WOOD BLACK BOARD ANT WHITE FINISH",36030.22,14412.088
